Name, Time


MA30BTECH11,17:40:00,39
MA30BTECH11,17:40:00,39
MA30BTECH11,17:40:00,39
MA30BTECH11,17:40:00,39
MA30BTECH11,17:40:00,39
MA30BTECH11,18:00:00,10
MA30BTECH11,18:00:00,10
MA30BTECH11,18:00:00,10
MA30BTECH11,18:00:00,10
MA30BTECH11,18:00:00,10
MA30BTECH11,18:02:01,44
MA30BTECH11,18:02:01,44
MA30BTECH11,18:02:01,44
MA30BTECH11,18:02:01,44
MA30BTECH11,18:02:01,44
MA30BTECH11,18:04:15,10
MA30BTECH11,18:04:15,10
MA30BTECH11,18:04:15,10
MA30BTECH11,18:04:15,10
MA30BTECH11,18:04:15,10
MA30BTECH11,18:06:00,61
MA30BTECH11,18:06:00,61
MA30BTECH11,18:06:00,61
MA30BTECH11,18:06:00,61
MA30BTECH11,18:06:00,61
MA30BTECH11,18:08:03,52
MA30BTECH11,18:08:03,52
MA30BTECH11,18:08:03,52
MA30BTECH11,18:08:03,52
MA30BTECH11,18:08:03,52
MA30BTECH11,18:12:00,106
MA30BTECH11,18:12:00,106
MA30BTECH11,18:12:00,106
MA30BTECH11,18:12:00,106
MA30BTECH11,18:12:00,106
MA30BTECH11,21:12:00,86
MA30BTECH11,21:12:00,86
MA30BTECH11,21:12:00,86
MA30BTECH11,00:18:00,29
MA30BTECH11,00:18:00,29
MA30BTECH11,00:18:00,29